[2022-08-28 11:00:08.1453] | Info | [2022/8/28 11:00:08]: 欢迎使用翎风系列游戏软件... 
[2022-08-28 11:00:08.1681] | Info | [2022/8/28 11:00:08]: 智能反外挂策略已启动... 
[2022-08-28 11:00:08.1686] | Info | [2022/8/28 11:00:08]: 网站:http://www.gameofmir.com 
[2022-08-28 11:00:08.1686] | Info | [2022/8/28 11:00:08]: 论坛:http://bbs.gameofmir.com 
[2022-08-28 11:00:16.4611] | Info | [2022/8/28 11:00:16]: 欢迎使用翎风系列游戏软件... 
[2022-08-28 11:00:16.4895] | Info | [2022/8/28 11:00:16]: 智能反外挂策略已启动... 
[2022-08-28 11:00:16.4895] | Info | [2022/8/28 11:00:16]: 网站:http://www.gameofmir.com 
[2022-08-28 11:00:16.4904] | Info | [2022/8/28 11:00:16]: 论坛:http://bbs.gameofmir.com 
[2022-08-28 11:02:41.7519] | Info | [2022/8/28 11:02:38]: 欢迎使用翎风系列游戏软件... 
[2022-08-28 11:02:43.2678] | Info | [2022/8/28 11:02:38]: 智能反外挂策略已启动... 
[2022-08-28 11:02:43.2684] | Info | [2022/8/28 11:02:38]: 网站:http://www.gameofmir.com 
[2022-08-28 11:02:43.2684] | Info | [2022/8/28 11:02:38]: 论坛:http://bbs.gameofmir.com 
[2022-08-28 11:02:43.2684] | Info | [2022/8/28 11:02:43]: Cloud智能防外挂网关[127.0.0.1:7900]已启动... 
[2022-08-28 11:02:43.2684] | Info | [2022/8/28 11:02:43]: [127.0.0.1:7900] 游戏引擎[127.0.0.1:5000]链接成功. 
