[2022-08-17 10:20:25.8248] | Debug | DBSvr is starting. 
[2022-08-17 10:20:25.9258] | Info | 数据库配置文件读取完成... 
[2022-08-17 10:20:26.2728] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 10:20:26.3126] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 10:20:29.2818] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 10:20:35.0729] | Info | 角色网关[0](10.10.0.102:49927)已打开... 
[2022-08-17 10:23:26.9108] | Debug | DBSvr is starting. 
[2022-08-17 10:23:27.0610] | Info | 数据库配置文件读取完成... 
[2022-08-17 10:23:27.5076] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 10:23:27.5114] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 10:23:27.5537] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 10:23:28.6013] | Info | 角色网关[0](10.10.0.102:50177)已打开... 
[2022-08-17 10:24:19.7881] | Error | 账号登录服务器[10.10.0.102:5600]断开链接. 
[2022-08-17 10:24:21.4709] | Info | 角色网关[0](10.10.0.102:50177)已关闭... 
[2022-08-17 10:24:41.6049] | Info | 角色网关[0](10.10.0.102:50215)已打开... 
[2022-08-17 10:24:41.7313] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 10:26:48.1272] | Debug | DBSvr is starting. 
[2022-08-17 10:26:48.2475] | Info | 数据库配置文件读取完成... 
[2022-08-17 10:26:48.5789] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 10:26:48.6307] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 10:26:52.0824] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 10:26:59.8496] | Info | 角色网关[0](10.10.0.102:50322)已打开... 
[2022-08-17 10:28:02.9928] | Debug | DBSvr is starting. 
[2022-08-17 10:28:03.1205] | Info | 数据库配置文件读取完成... 
[2022-08-17 10:28:03.4779] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 10:28:03.5231] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 10:28:04.9513] | Info | 角色网关[0](10.10.0.102:50371)已打开... 
[2022-08-17 10:28:07.7457] | Info | 角色网关[0](10.10.0.102:50369)已打开... 
[2022-08-17 10:28:16.5850] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 10:31:50.4971] | Debug | DBSvr is starting. 
[2022-08-17 10:31:50.6327] | Info | 数据库配置文件读取完成... 
[2022-08-17 10:31:50.9844] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 10:31:51.0376] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 10:31:54.5035] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 10:31:59.1140] | Info | 角色网关[0](10.10.0.102:50462)已打开... 
[2022-08-17 10:34:43.3826] | Debug | DBSvr is starting. 
[2022-08-17 10:34:43.5092] | Info | 数据库配置文件读取完成... 
[2022-08-17 10:34:43.8597] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 10:34:43.8624] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 10:34:43.9061] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 10:34:49.6799] | Info | 角色网关[0](10.10.0.102:50493)已打开... 
[2022-08-17 10:36:04.5493] | Debug | DBSvr is starting. 
[2022-08-17 10:36:04.6732] | Info | 数据库配置文件读取完成... 
[2022-08-17 10:36:05.0310] | Info | 数据库服务[10.10.0.102:5100]已启动.等待链接... 
[2022-08-17 10:36:05.0337] | Info | 账号登陆服务器[10.10.0.102:5600]链接成功. 
[2022-08-17 10:36:05.0728] | Info | 数据库角色服务[10.10.0.102:6000]已启动.等待链接... 
[2022-08-17 10:36:06.3964] | Info | 角色网关[0](10.10.0.102:50499)已打开... 
