[2022-08-22 15:17:29.5176] | Info | 正在启动服务器... 
[2022-08-22 15:17:29.5367] | Info | 正在等待服务器连接... 
[2022-08-22 15:17:29.6059] | Info | 正在连接SQL服务器... 
[2022-08-22 15:17:29.8851] | Info | 连接SQL服务器成功... 
[2022-08-22 15:17:29.9857] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-22 15:17:30.0309] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-22 15:20:47.2414] | Info | 正在启动服务器... 
[2022-08-22 15:20:47.2575] | Info | 正在等待服务器连接... 
[2022-08-22 15:20:47.2674] | Info | 正在连接SQL服务器... 
[2022-08-22 15:20:47.4350] | Info | 连接SQL服务器成功... 
[2022-08-22 15:20:47.5524] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-22 15:20:47.5803] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-22 15:20:55.8735] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:21:00.8459] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:21:05.9061] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:21:10.9632] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:21:16.0128] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:21:20.1056] | Info | 登录网关[10.10.0.102:59957]已链接. 
[2022-08-22 15:21:20.1103] | Info | 登录网关[10.10.0.102:59957]断开链接. 
[2022-08-22 15:21:21.0637] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:21:26.1061] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:21:31.1734] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:21:36.2096] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:21:40.2532] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:21:41.2388] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:21:46.2882] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:21:51.3265] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:21:56.3703] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:22:01.4552] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:22:06.5521] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:22:11.6496] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:22:16.7297] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:22:21.7837] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:22:26.8358] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:22:31.9278] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:22:37.0050] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:22:42.0970] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:22:47.1835] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:22:52.2721] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:22:57.3497] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:23:02.3518] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:23:07.4508] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:23:12.5315] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:23:17.6087] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:23:22.6983] | Warn | 非法地址连接:10.10.0.102 
[2022-08-22 15:25:13.0789] | Info | 正在启动服务器... 
[2022-08-22 15:25:13.0968] | Info | 正在等待服务器连接... 
[2022-08-22 15:25:13.1079] | Info | 正在连接SQL服务器... 
[2022-08-22 15:25:13.3030] | Info | 连接SQL服务器成功... 
[2022-08-22 15:25:13.4114] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-22 15:25:13.4433] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-22 15:25:14.2896] | Info | 登录网关[10.10.0.102:60103]已链接. 
[2022-08-22 15:25:14.2977] | Info | 登录网关[10.10.0.102:60103]断开链接. 
[2022-08-22 15:26:47.3303] | Info | 登录网关[10.10.0.102:60216]已链接. 
[2022-08-22 15:26:47.3334] | Info | 登录网关[10.10.0.102:60216]断开链接. 
[2022-08-22 15:27:12.9264] | Info | [热血传奇]数据库服务器[10.10.0.102:60098]断开链接. 
[2022-08-22 23:45:27.8180] | Info | 正在启动服务器... 
[2022-08-22 23:45:27.8790] | Info | 正在等待服务器连接... 
[2022-08-22 23:45:27.9169] | Info | 正在连接SQL服务器... 
[2022-08-22 23:45:28.2197] | Info | 连接SQL服务器成功... 
[2022-08-22 23:45:28.3704] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-22 23:45:28.4200] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-22 23:46:21.4538] | Info | 正在启动服务器... 
[2022-08-22 23:46:21.4761] | Info | 正在等待服务器连接... 
[2022-08-22 23:46:21.4802] | Info | 正在连接SQL服务器... 
[2022-08-22 23:46:21.7077] | Info | 连接SQL服务器成功... 
[2022-08-22 23:46:21.8282] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-22 23:46:21.8456] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-22 23:47:00.6759] | Info | 正在启动服务器... 
[2022-08-22 23:47:01.8901] | Info | 正在等待服务器连接... 
[2022-08-22 23:47:01.9230] | Info | 正在连接SQL服务器... 
[2022-08-22 23:47:02.4034] | Info | 连接SQL服务器成功... 
[2022-08-22 23:47:02.5829] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-22 23:47:02.6031] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-22 23:47:46.3342] | Info | 正在启动服务器... 
[2022-08-22 23:47:46.3564] | Info | 正在等待服务器连接... 
[2022-08-22 23:47:46.3611] | Info | 正在连接SQL服务器... 
[2022-08-22 23:47:46.5829] | Info | 连接SQL服务器成功... 
[2022-08-22 23:47:46.6982] | Info | 账号登陆服务[10.10.0.102:5500]已启动. 
[2022-08-22 23:47:46.7171] | Info | 账号数据服务[10.10.0.102:5600]已启动. 
[2022-08-22 23:48:00.9413] | Info | 正在启动服务器... 
[2022-08-22 23:48:00.9715] | Info | 正在等待服务器连接... 
