10/100     金币 300

10/300    魔法药(中量)
10/300    金创药(中量)

10/3000    海魂
10/3000    八荒
10/3000    半月
10/3000    凌风
10/3000    破魂
10/3000    青铜头盔
10/3000    魔法头盔
10/3000    琥珀项链
10/3000    魔鬼项链
10/3000    黑檀项链
10/3000    凤凰明珠
10/3000    灯笼项链
10/3000    钢手镯
10/3000    大手镯
10/3000    蓝色水晶戒指
10/3000    黑色水晶戒指
10/3000    轻型盔甲(男)
10/3000    轻型盔甲(女)

10/500  基本剑术
10/500  火球术
10/500  抗拒火环
10/500  诱惑之光
10/500  地狱火
10/500  治愈术
10/500  精神力战法
10/500  施毒术

10/3000  攻杀剑术
10/3000  雷电术
10/3000  瞬息移动
10/3000  大火球
10/3000  爆裂火焰
10/3000  灵魂火符
10/3000  召唤骷髅
10/3000  隐身术
10/3000  集体隐身术

10/5000  刺杀剑术
10/5000  火墙
10/5000  疾光电影
10/5000  幽灵盾
10/5000  神圣战甲术
10/5000  心灵启示

10/10000  祈祷头盔
