10/30    疗伤药

10/200   神秘头盔
10/200   神秘腰带
10/200   神秘戒指

10/1000  魔法头盔
10/1000  道士头盔
10/1000  重盔甲(男)
10/1000  重盔甲(女)
10/1000  魔法长袍(男)
10/1000  魔法长袍(女)
10/1000  灵魂战衣(男)
10/1000  灵魂战衣(女)
10/1000  八荒
10/1000  海魂
10/1000  半月
10/1000  凌风
10/1000  破魂
10/1000  斩马刀
10/1000  魔鬼项链
10/1000  凤凰明珠
10/1000  蓝翡翠项链
10/1000  放大镜
10/1000  竹笛
10/1000  灯笼项链
10/1000  大手镯
10/1000  坚固手套
10/1000  魔法手镯
10/1000  黑檀手镯
10/1000  道士手镯
10/1000  魔力手镯
10/1000  蛇眼戒指
10/1000  珍珠戒指
10/1000  骷髅戒指
10/1000  魅力戒指
10/1000  道德戒指
10/1000  金戒指
10/1000  生铁戒指

10/5000  偃月
10/5000  降魔
10/5000  修罗
10/5000  凝霜
10/5000  白色虎齿项链
10/5000  死神手套
10/5000  金手镯
10/5000  珊瑚戒指
10/5000  降妖除魔戒指
10/5000  骷髅头盔
