10/30     金币 500

10/10    强效魔法药
10/10    强效金创药
10/10    强效魔法药
10/10    强效金创药
10/10    太阳水
10/10    太阳水
10/10    强效太阳水
10/10    强效太阳水
10/10    疗伤药
10/10    疗伤药

10/200  罗刹

10/200  攻击神水
10/200  魔力神水
10/200  道力神水
10/200  疾风神水
10/200  HP强化水
10/200  MP强化水

10/200  魔法头盔
10/200  道士头盔
10/200  重盔甲(男)
10/200  重盔甲(女)
10/200  魔法长袍(男)
10/200  魔法长袍(女)
10/200  灵魂战衣(男)
10/200  灵魂战衣(女)
10/200  八荒
10/200  海魂
10/200  半月
10/200  凌风
10/200  破魂
10/200  斩马刀
10/200  魔鬼项链
10/200  凤凰明珠
10/200  蓝翡翠项链
10/200  放大镜
10/200  竹笛
10/200  灯笼项链
10/200  大手镯
10/200  坚固手套
10/200  魔法手镯
10/200  黑檀手镯
10/200  道士手镯
10/200  魔力手镯
10/200  蛇眼戒指
10/200  珍珠戒指
10/200  骷髅戒指
10/200  魅力戒指
10/200  道德戒指
10/200  金戒指
10/200  生铁戒指

10/2000  偃月
10/2000  降魔
10/2000  修罗
10/2000  凝霜
10/2000  白色虎齿项链
10/2000  死神手套
10/2000  金手镯
10/2000  珊瑚戒指
10/2000  降妖除魔戒指
10/2000  骷髅头盔
