10/100     金币 300

10/300    魔法药(中量)
10/300    金创药(中量)
10/300    太阳水

10/5000  魔法头盔
10/5000  道士头盔
10/5000  重盔甲(男)
10/5000  重盔甲(女)
10/5000  魔法长袍(男)
10/5000  魔法长袍(女)
10/5000  灵魂战衣(男)
10/5000  灵魂战衣(女)
10/5000  八荒
10/5000  海魂
10/5000  半月
10/5000  凌风
10/5000  破魂
10/5000  斩马刀
10/5000  魔鬼项链
10/5000  凤凰明珠
10/5000  蓝翡翠项链
10/5000  放大镜
10/5000  竹笛
10/5000  灯笼项链
10/5000  大手镯
10/5000  坚固手套
10/5000  魔法手镯
10/5000  黑檀手镯
10/5000  道士手镯
10/5000  魔力手镯
10/5000  蛇眼戒指
10/5000  珍珠戒指
10/5000  骷髅戒指
10/5000  魅力戒指
10/5000  道德戒指
10/5000  金戒指
10/5000  生铁戒指

10/10000  偃月
10/10000  降魔
10/10000  修罗
10/10000  凝霜
10/10000  白色虎齿项链
10/10000  死神手套
10/10000  金手镯
10/10000  珊瑚戒指
10/10000  降妖除魔戒指
