10/50   金币 300

10/100    魔法药(中量)
10/100    金创药(中量)
10/100    太阳水

10/30    疗伤药

10/3000  道士头盔
10/3000  重盔甲(男)
10/3000  重盔甲(女)
10/3000  魔法长袍(男)
10/3000  魔法长袍(女)
10/3000  灵魂战衣(男)
10/3000  灵魂战衣(女)
10/3000  凌风
10/3000  破魂
10/3000  斩马刀
10/3000  蓝翡翠项链
10/3000  放大镜
10/3000  竹笛
10/3000  灯笼项链
10/3000  坚固手套
10/3000  魔法手镯
10/3000  黑檀手镯
10/3000  道士手镯
10/3000  魔力手镯
10/3000  骷髅戒指
10/3000  魅力戒指
10/3000  道德戒指
10/3000  金戒指
10/3000  生铁戒指

10/5000  偃月
10/5000  降魔
10/5000  修罗
10/5000  凝霜
10/5000  白色虎齿项链
10/5000  死神手套
10/5000  金手镯
10/5000  珊瑚戒指
10/5000  降妖除魔戒指
