10/100     金币 200

10/300    魔法药(中量)
10/300    金创药(中量)

10/3000    青铜剑
10/3000    青铜斧
10/3000    海魂
10/3000    八荒
10/3000    半月
10/3000    凌风
10/3000    破魂
10/3000    青铜头盔
10/3000    魔法头盔
10/3000    白金项链
10/3000    黄色水晶项链
10/3000    黑色水晶项链
10/3000    琥珀项链
10/3000    魔鬼项链
10/3000    黑檀项链
10/3000    凤凰明珠
10/3000    灯笼项链
10/3000    小手镯
10/3000    铁手镯
10/3000    皮制手套
10/3000    银手镯
10/3000    钢手镯
10/3000    大手镯
10/3000    六角戒指
10/3000    牛角戒指
10/3000    玻璃戒指
10/3000    蓝色水晶戒指
10/3000    黑色水晶戒指
10/3000    轻型盔甲(男)
10/3000    轻型盔甲(女)
