2021-08-23 15:48:20 已读取 0个行会信息...
2021-08-23 15:48:20 已读取 1个城堡信息...
2021-08-23 15:48:20 连接SQL数据成功...
2021-08-23 15:48:20 初始化 133个交易NPC...
2021-08-23 15:48:20 初始化 15个管理NPC...
2021-08-23 15:48:20 游戏网关端口(127.0.0.1:5000)已打开...
2021-08-23 15:48:20 登录服务器(127.0.0.1:5600)连接成功...
2021-08-23 15:48:23 游戏网关[0](127.0.0.1:4014)已打开..
2021-08-23 15:48:23 数据库服务器(127.0.0.1:6000)连接成功...
2021-08-23 15:58:18 在线数: 1(1)
2021-08-23 16:00:45 [制造物品] 阿瑞斯乐园 回城卷(1073741826)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741827)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741828)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741829)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741830)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741831)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741832)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741833)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741834)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741835)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741836)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741837)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741838)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741839)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741840)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741841)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741842)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741843)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741844)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741845)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741846)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741847)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741848)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741849)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741850)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741851)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741852)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741853)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741854)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741855)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741856)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741857)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741858)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741859)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741860)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741861)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741862)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741863)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741864)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741865)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741866)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741867)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741868)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741869)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741870)
2021-08-23 16:01:13 [制造物品] 阿瑞斯乐园 随机传送卷包(1073741871)
2021-08-23 16:05:16 [制造物品] 阿瑞斯乐园 火球术(1073741872)
2021-08-23 16:08:18 在线数: 1(1)
2021-08-23 16:10:22 游戏网关[0](127.0.0.1:4014)已关闭..
2021-08-23 16:10:24 游戏网关端口(127.0.0.1:5000)已关闭...
