[2022-08-17 10:16:07.2784] | Info | [2022/8/17 10:16:07]: 配置信息加载完成... 
[2022-08-17 10:16:07.3022] | Info | [2022/8/17 10:16:07]: 服务已启动成功... 
[2022-08-17 10:16:07.3027] | Info | [2022/8/17 10:16:07]: 欢迎使用翎风系列游戏软件... 
[2022-08-17 10:16:07.3027] | Info | [2022/8/17 10:16:07]: 网站:http://www.gameofmir.com 
[2022-08-17 10:16:07.3027] | Info | [2022/8/17 10:16:07]: 论坛:http://bbs.gameofmir.com 
[2022-08-17 10:16:07.3027] | Info | [2022/8/17 10:16:07]: 智能反外挂程序已启动... 
[2022-08-17 10:16:07.3027] | Info | [2022/8/17 10:16:07]: 智能反外挂程序云端已连接... 
[2022-08-17 10:16:07.3231] | Info | [2022/8/17 10:16:07]: 网关[10.10.0.102:7200]已启动... 
[2022-08-17 10:16:07.3231] | Info | [2022/8/17 10:16:07]: [10.10.0.102:7200] 游戏引擎[10.10.0.102:5000]链接成功. 
[2022-08-17 10:20:48.5884] | Info | [2022/8/17 10:20:48]: 配置信息加载完成... 
[2022-08-17 10:20:48.6122] | Info | [2022/8/17 10:20:48]: 服务已启动成功... 
[2022-08-17 10:20:48.6128] | Info | [2022/8/17 10:20:48]: 欢迎使用翎风系列游戏软件... 
[2022-08-17 10:20:48.6128] | Info | [2022/8/17 10:20:48]: 网站:http://www.gameofmir.com 
[2022-08-17 10:20:48.6128] | Info | [2022/8/17 10:20:48]: 论坛:http://bbs.gameofmir.com 
[2022-08-17 10:20:48.6128] | Info | [2022/8/17 10:20:48]: 智能反外挂程序已启动... 
[2022-08-17 10:20:48.6128] | Info | [2022/8/17 10:20:48]: 智能反外挂程序云端已连接... 
[2022-08-17 10:20:48.6348] | Info | [2022/8/17 10:20:48]: 网关[10.10.0.102:7200]已启动... 
[2022-08-17 10:20:48.6348] | Info | [2022/8/17 10:20:48]: [10.10.0.102:7200] 游戏引擎[10.10.0.102:5000]链接成功. 
[2022-08-17 10:24:23.2301] | Info | [2022/8/17 10:24:23]: [10.10.0.102:7200] 游戏引擎[10.10.0.102:5000]断开链接. 
[2022-08-17 10:24:54.9719] | Info | [2022/8/17 10:24:54]: 配置信息加载完成... 
[2022-08-17 10:24:54.9981] | Info | [2022/8/17 10:24:54]: 服务已启动成功... 
[2022-08-17 10:24:54.9987] | Info | [2022/8/17 10:24:54]: 欢迎使用翎风系列游戏软件... 
[2022-08-17 10:24:54.9987] | Info | [2022/8/17 10:24:54]: 网站:http://www.gameofmir.com 
[2022-08-17 10:24:54.9987] | Info | [2022/8/17 10:24:54]: 论坛:http://bbs.gameofmir.com 
[2022-08-17 10:24:54.9987] | Info | [2022/8/17 10:24:54]: 智能反外挂程序已启动... 
[2022-08-17 10:24:54.9987] | Info | [2022/8/17 10:24:54]: 智能反外挂程序云端已连接... 
[2022-08-17 10:24:55.0194] | Info | [2022/8/17 10:24:55]: 网关[10.10.0.102:7200]已启动... 
[2022-08-17 10:24:55.0196] | Info | [2022/8/17 10:24:55]: [10.10.0.102:7200] 游戏引擎[10.10.0.102:5000]链接成功. 
[2022-08-17 10:27:05.8680] | Info | [2022/8/17 10:27:05]: 配置信息加载完成... 
[2022-08-17 10:27:05.8971] | Info | [2022/8/17 10:27:05]: 服务已启动成功... 
[2022-08-17 10:27:05.8979] | Info | [2022/8/17 10:27:05]: 欢迎使用翎风系列游戏软件... 
[2022-08-17 10:27:05.8979] | Info | [2022/8/17 10:27:05]: 网站:http://www.gameofmir.com 
[2022-08-17 10:27:05.8979] | Info | [2022/8/17 10:27:05]: 论坛:http://bbs.gameofmir.com 
