[2022-08-17 10:20:34.9813] | Info | 正在启动服务... 
[2022-08-17 10:20:35.0698] | Info | 欢迎使用翎风系列游戏软件... 
[2022-08-17 10:20:35.0698] | Info | 网站:http://www.gameofmir.com 
[2022-08-17 10:20:35.0698] | Info | 论坛:http://bbs.gameofmir.com 
[2022-08-17 10:20:35.0730] | Info | 数据库服务器[10.10.0.102:5100]链接成功. 
[2022-08-17 10:20:35.0735] | Debug | 线程[016119a0301b4488b2595dd332d8cd7f]连接 10.10.0.102:5100 成功... 
[2022-08-17 10:20:35.0735] | Debug | 清理超时会话开始工作... 
[2022-08-17 10:20:35.0735] | Debug | 清理超时会话工作完成... 
[2022-08-17 10:20:35.0760] | Debug | 发送数据库服务器心跳包 
[2022-08-17 10:20:35.0804] | Debug | 数据库服务器心跳包响应 
[2022-08-17 10:20:45.0758] | Debug | 发送数据库服务器心跳包 
[2022-08-17 10:20:45.0758] | Debug | 数据库服务器心跳包响应 
[2022-08-17 10:20:55.0751] | Debug | 清理超时会话开始工作... 
[2022-08-17 10:20:55.0751] | Debug | 清理超时会话工作完成... 
[2022-08-17 10:20:55.0770] | Debug | 发送数据库服务器心跳包 
[2022-08-17 10:20:55.0770] | Debug | 数据库服务器心跳包响应 
[2022-08-17 10:20:59.9656] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:00.9951] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:02.0054] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:03.0161] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:04.0280] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:05.0385] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:05.0780] | Debug | 发送数据库服务器心跳包 
[2022-08-17 10:21:05.0780] | Debug | 数据库服务器心跳包响应 
[2022-08-17 10:21:06.0479] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:07.0601] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:08.0734] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:09.0819] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:10.0937] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:11.1085] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:12.1211] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:13.1338] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:14.1459] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:15.0765] | Debug | 清理超时会话开始工作... 
[2022-08-17 10:21:15.0767] | Debug | 清理超时会话工作完成... 
[2022-08-17 10:21:15.0797] | Debug | 发送数据库服务器心跳包 
[2022-08-17 10:21:15.0797] | Debug | 数据库服务器心跳包响应 
[2022-08-17 10:21:15.1576] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:16.1712] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:17.1754] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:18.1848] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:19.1953] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:20.2115] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:21.2182] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:22.2306] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:23.2436] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:24.2504] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:25.0813] | Debug | 发送数据库服务器心跳包 
[2022-08-17 10:21:25.0813] | Debug | 数据库服务器心跳包响应 
[2022-08-17 10:21:25.2652] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:26.2746] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:27.2879] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:28.3004] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:29.3110] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:30.3209] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:31.3354] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:32.3472] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:33.3580] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:34.3732] | Debug | 用户[10.10.0.102]分配到数据库服务器[0] Server:10.10.0.102:5100 
[2022-08-17 10:21:35.0766] | Debug | 清理超时会话开始工作... 
[2022-08-17 10:21:35.0766] | Debug | 清理超时会话工作完成... 
[2022-08-17 10:21:35.0826] | Debug | 发送数据库服务器心跳包 
[2022-08-17 10:21:35.0826] | Debug | 数据库服务器心跳包响应 
